-0,0,-1.904199
-1,0,-1.677087
-2,0,-1.527806
-2.982143,-0.125,-0.969989
-4,0,-1.453783
-5,0,-1.527806
-6,0,-1.677087
-7,0,-1.904199
-0,1,-1.677087
-1.0,1.0,-1.453783
-2,1.0,-1.306936
-2.982143,0.910714,-0.742461
-4,1,-1.2341
-5,1.0,-1.306936
-6,1.0,-1.453783
-7,1,-1.677087
-0,2,-1.527806
-1.0,2,-1.306936
-2.0,2.0,-1.161647
-2.982143,1.946429,-0.592771
-4,2,-1.089572
-5,2.0,-1.161647
-6,2,-1.306936
-7,2,-1.527806
-0.5,3,-1.33435
-1.5,3,-1.152618
-2.5,3,-1.044714
-3.5,2.982143,-0.50925
-4.535714,2.982143,-0.546311
-5.571429,2.982143,-0.658068
-6.607143,2.982143,-0.846291
-1,4,-1.2341
-2,4,-1.089572
-3,4,-1.017869
-4,4,-1.017869
-5,4,-1.089572
-6,4,-1.2341
-1.5,5,-1.225023
-2.5,5,-1.116557
-3.5,5,-1.080589
-4.5,5,-1.116557
-5.5,5,-1.225023
-1.5,6,-1.370987
-2.5,6,-1.261368
-3.5,6.0,-1.225023
-4.5,6,-1.261368
-5.5,6,-1.370987
-1.5,7,-1.592912
-2.5,7,-1.481494
-3.5,7,-1.444558
-4.5,7,-1.481494
-5.5,7,-1.592912
